"LocationAbbr","LocationDesc","Year","Datasource","TopicDesc","MeasureDesc","SubMeasureDesc","Data_Value","Data_Value_Unit","Data_Value_Type","GeoLocation","Source","TopicTypeId","TopicId","MeasureId","SubMeasureID","SubMeasureIdDisplayOrder"
"MT","Montana","2004","OW","The Tax Burden on Tobacco","Cigarette Sales","Cigarette Consumption (Pack Sales Per Capita)","68",,"Pack","    (47.066528972, -109.424420645)","Table 11- Orzechowski and Walker, Tax Burden on Tobacco","POL","450POL","450CGS","453CGS","2"
"MT","Montana","2004","OW","The Tax Burden on Tobacco","Cigarette Sales","Average Cost per pack","3,94","$","Dollars","    (47.066528972, -109.424420645)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco","POL","450POL","450CGS","455CGS","1"
"NE","Nebraska","2004","OW","The Tax Burden on Tobacco","Cigarette Sales","Cigarette Consumption (Pack Sales Per Capita)","61,8",,"Pack","    (41.641040988001, -99.365720623)","Table 11- Orzechowski and Walker, Tax Burden on Tobacco","POL","450POL","450CGS","453CGS","2"
"NE","Nebraska","2004","OW","The Tax Burden on Tobacco","Cigarette Sales","Average Cost per pack","3,619","$","Dollars","    (41.641040988001, -99.365720623)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco","POL","450POL","450CGS","455CGS","1"
"NV","Nevada","2004","OW","The Tax Burden on Tobacco","Cigarette Sales","Average Cost per pack","3,83","$","Dollars","    (39.49324039, -117.071840564)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco","POL","450POL","450CGS","455CGS","1"
"NV","Nevada","2004","OW","The Tax Burden on Tobacco","Cigarette Sales","Cigarette Consumption (Pack Sales Per Capita)","69,9",,"Pack","    (39.49324039, -117.071840564)","Table 11- Orzechowski and Walker, Tax Burden on Tobacco","POL","450POL","450CGS","453CGS","2"
"NH","New Hampshire","2004","OW","The Tax Burden on Tobacco","Cigarette Sales","Cigarette Consumption (Pack Sales Per Capita)","148,4",,"Pack","    (43.655950113, -71.50036092)","Table 11- Orzechowski and Walker, Tax Burden on Tobacco","POL","450POL","450CGS","453CGS","2"
"NH","New Hampshire","2004","OW","The Tax Burden on Tobacco","Cigarette Sales","Average Cost per pack","3,516","$","Dollars","    (43.655950113, -71.50036092)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco","POL","450POL","450CGS","455CGS","1"
"NJ","New Jersey","2004","OW","The Tax Burden on Tobacco","Cigarette Sales","Cigarette Consumption (Pack Sales Per Capita)","43",,"Pack","    (40.130570048, -74.273691288)","Table 11- Orzechowski and Walker, Tax Burden on Tobacco","POL","450POL","450CGS","453CGS","2"
"NJ","New Jersey","2004","OW","The Tax Burden on Tobacco","Cigarette Sales","Average Cost per pack","5,617","$","Dollars","    (40.130570048, -74.273691288)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco","POL","450POL","450CGS","455CGS","1"
"NM","New Mexico","2004","OW","The Tax Burden on Tobacco","Cigarette Sales","Cigarette Consumption (Pack Sales Per Capita)","35,4",,"Pack","    (34.520880952, -106.240580985)","Table 11- Orzechowski and Walker, Tax Burden on Tobacco","POL","450POL","450CGS","453CGS","2"
"NM","New Mexico","2004","OW","The Tax Burden on Tobacco","Cigarette Sales","Average Cost per pack","3,883","$","Dollars","    (34.520880952, -106.240580985)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco","POL","450POL","450CGS","455CGS","1"
"NY","New York","2004","OW","The Tax Burden on Tobacco","Cigarette Sales","Average Cost per pack","5,485","$","Dollars","    (42.827001032, -75.543970427)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco","POL","450POL","450CGS","455CGS","1"
"NY","New York","2004","OW","The Tax Burden on Tobacco","Cigarette Sales","Cigarette Consumption (Pack Sales Per Capita)","33,7",,"Pack","    (42.827001032, -75.543970427)","Table 11- Orzechowski and Walker, Tax Burden on Tobacco","POL","450POL","450CGS","453CGS","2"
"NC","North Carolina","2004","OW","The Tax Burden on Tobacco","Cigarette Sales","Average Cost per pack","3,034","$","Dollars","    (35.466220975, -79.159250463)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco","POL","450POL","450CGS","455CGS","1"
"NC","North Carolina","2004","OW","The Tax Burden on Tobacco","Cigarette Sales","Cigarette Consumption (Pack Sales Per Capita)","95,6",,"Pack","    (35.466220975, -79.159250463)","Table 11- Orzechowski and Walker, Tax Burden on Tobacco","POL","450POL","450CGS","453CGS","2"
"ND","North Dakota","2004","OW","The Tax Burden on Tobacco","Cigarette Sales","Average Cost per pack","3,399","$","Dollars","    (47.475319779, -100.118421049)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco","POL","450POL","450CGS","455CGS","1"
"ND","North Dakota","2004","OW","The Tax Burden on Tobacco","Cigarette Sales","Cigarette Consumption (Pack Sales Per Capita)","65,7",,"Pack","    (47.475319779, -100.118421049)","Table 11- Orzechowski and Walker, Tax Burden on Tobacco","POL","450POL","450CGS","453CGS","2"
"OH","Ohio","2004","OW","The Tax Burden on Tobacco","Cigarette Sales","Cigarette Consumption (Pack Sales Per Capita)","85,9",,"Pack","    (40.060210141, -82.404260056)","Table 11- Orzechowski and Walker, Tax Burden on Tobacco","POL","450POL","450CGS","453CGS","2"
"OH","Ohio","2004","OW","The Tax Burden on Tobacco","Cigarette Sales","Average Cost per pack","3,496","$","Dollars","    (40.060210141, -82.404260056)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco","POL","450POL","450CGS","455CGS","1"
