,GeoName,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004
49000,Utah,3201,3495,3768,4070,4430,4854,5262,5733,6354,6876,7445,8107,8539,9048,9864,10400,10793,11132,11812,12570,13281,13949,14599,15195,15827,16721,17696,18590,19421,20079,21088,21841,22575,23274,24429
50000,Vermont,3265,3570,3797,4168,4469,4857,5356,5679,6417,7056,7785,8655,9427,10089,11023,11824,12566,13304,14420,15652,16101,16436,17492,18000,18698,19514,20251,21179,22612,23679,25326,27003,27918,29276,30854
51000,Virginia,3633,3975,4286,4752,5150,5688,6147,6675,7427,8204,9193,10098,10891,11715,12916,13710,14553,15227,16532,17560,18256,18894,19772,20428,21160,21948,22646,23749,24829,25999,27760,28945,30199,31960,33753
54000,West Virginia,2800,3049,3312,3631,3959,4423,4805,5306,5879,6450,7022,7658,8179,8477,9227,9717,10117,10463,11442,12179,13072,13645,14692,15147,15723,16197,16813,17523,18276,18782,19902,21181,22254,22681,23522
55000,Wisconsin,3469,3748,4019,4478,4870,5358,5828,6452,7117,7931,8716,9419,10026,10675,11723,12331,12987,13509,14298,15446,16159,16649,17729,18398,19309,20064,20884,21914,23210,23981,25421,26711,27822,28660,29863
56000,Wyoming,3600,3954,4408,4987,5554,6118,6466,7254,8254,9054,10111,11076,11468,11488,12194,12873,13064,12949,13579,14933,16281,16963,17641,18332,18856,19565,19889,21223,22463,23898,25465,27252,28577,30592,32744
91000,New England,3961,4237,4491,4904,5303,5791,6227,6776,7451,8238,9264,10225,11175,12146,13548,14438,15397,16388,18140,19282,19836,20240,21300,21909,22698,23713,24584,25642,27076,28398,30601,32334,33511,34462,36201
92000,Mideast,4078,4399,4679,5104,5535,6085,6518,7062,7747,8468,9416,10359,11202,12120,13288,14120,14977,15723,17336,18579,19779,20159,21189,21678,22256,23249,24176,25212,26476,27571,29537,30543,31739,32703,34236
93000,Great Lakes,3688,3992,4279,4794,5177,5658,6149,6760,7432,8131,8860,9632,10263,10883,12043,12739,13431,13927,15001,16010,16864,17215,18333,18911,19855,20711,21563,22503,23698,24527,26037,26900,27692,28576,29676
94000,Plains,3489,3772,4092,4789,4973,5505,5818,6385,7171,7813,8390,9431,10048,10668,11950,12580,13209,13748,14407,15422,16222,16742,17763,18120,19150,19812,21028,21813,23007,23763,25191,26081,26999,28313,29780
95000,Southeast,3095,3362,3653,4084,4439,4864,5281,5750,6399,7025,7775,8635,9193,9878,10896,11512,12133,12698,13788,14769,15559,16143,17048,17680,18391,19233,19962,20748,21883,22587,23857,24755,25695,26821,28277
96000,Southwest,3356,3615,3884,4325,4712,5276,5723,6199,6960,7725,8566,9635,10294,10911,11815,12524,12829,12963,13791,14522,15337,15831,16722,17290,17892,18679,19494,20590,21800,22490,23914,25163,25821,26814,27967
97000,Rocky Mountain,3530,3834,4174,4630,5079,5551,5957,6429,7217,7859,8724,9642,10206,10906,11716,12247,12682,13004,13801,14787,15572,16216,17017,17814,18450,19420,20273,21094,22474,23341,24944,25983,26645,27475,28649
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Legend/Footnotes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2. Per capita disposable personal income is total disposable personal income divided by total midyear population.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note. All dollar estimates are in millions of current dollars (not adjusted for inflation). Calculations are performed on unrounded data.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"  Last updated: April 9, 2026-- new statistics for 2025; revised statistics for 2020-2024.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
